FeatureInfo [rank=0, score=0.07250230900777574, name=allOntimeCumulative_v1]
FeatureInfo [rank=32, score=0.009883101980107998, name=departureDayMomentOneHot_d1]
FeatureInfo [rank=33, score=0.009300427190193005, name=carrierFsCodeOneHot_DL]
FeatureInfo [rank=34, score=0.009155425147694933, name=arrivalDayOneHot_Mon]
FeatureInfo [rank=35, score=0.008845015490754636, name=carrierFsCodeOneHot_JT*]
FeatureInfo [rank=36, score=0.008781428342401665, name=carrierFsCodeOneHot_U6]
FeatureInfo [rank=37, score=0.008438824192802705, name=departureAirportOneHot_FRA]
FeatureInfo [rank=38, score=0.008335721957495405, name=carrierFsCodeOneHot_FR]
FeatureInfo [rank=39, score=0.008037545902070394, name=carrierFsCodeOneHot_WN]
FeatureInfo [rank=40, score=0.006073421970232981, name=carrierFsCodeOneHot_ID*]
FeatureInfo [rank=41, score=0.006007435706698599, name=departureAirportOneHot_DEL]
FeatureInfo [rank=42, score=0.0051964600010476324, name=carrierFsCodeOneHot_FZ]
FeatureInfo [rank=43, score=0.004744033757155492, name=departureAirportOneHot_HND]
FeatureInfo [rank=44, score=0.004687068315138108, name=carrierFsCodeOneHot_WE*]
FeatureInfo [rank=45, score=0.004504260930037122, name=departureDayOneHot_Fri]
FeatureInfo [rank=46, score=0.004410800847453398, name=arrivalDayOneHot_Tue]
FeatureInfo [rank=47, score=0.004298486354620863, name=carrierFsCodeOneHot_TP]
FeatureInfo [rank=48, score=0.003784738515708052, name=carrierFsCodeOneHot_CZ]
FeatureInfo [rank=49, score=0.0037321346280369074, name=departureAirportOneHot_CAN]
FeatureInfo [rank=50, score=0.003720608668444231, name=arrivalAirportOneHot_FRA]
FeatureInfo [rank=51, score=0.0035284164713859866, name=departureAirportOneHot_PRG]
FeatureInfo [rank=52, score=0.003430298469805682, name=carrierFsCodeOneHot_JJ]
FeatureInfo [rank=53, score=0.003409926019653813, name=departureAirportOneHot_AMS]
FeatureInfo [rank=54, score=0.0033866912950290245, name=carrierFsCodeOneHot_SJ]
FeatureInfo [rank=55, score=0.0033411410659488243, name=arrivalDayMomentOneHot_d0]
FeatureInfo [rank=56, score=0.0030601132374612097, name=arrivalAirportOneHot_LHR]
FeatureInfo [rank=57, score=0.002907345909981494, name=humidity]
FeatureInfo [rank=58, score=0.0028809262185450313, name=departureAirportOneHot_LHR]
FeatureInfo [rank=59, score=0.002840926339108093, name=carrierFsCodeOneHot_4O]
FeatureInfo [rank=60, score=0.0027313464242678873, name=arrivalAirportOneHot_ATL]
FeatureInfo [rank=61, score=0.002724417706051331, name=arrivalAirportOneHot_CGK]
FeatureInfo [rank=62, score=0.0027180418308512537, name=departureDayOneHot_Tue]
FeatureInfo [rank=63, score=0.0027043457760769353, name=departureAirportOneHot_FCO]
FeatureInfo [rank=64, score=0.0027029030670814923, name=arrivalAirportOneHot_HND]
FeatureInfo [rank=65, score=0.0027018640507434064, name=departureDayMomentOneHot_d3]
FeatureInfo [rank=66, score=0.0026655262372516616, name=arrivalAirportOneHot_SFO]
FeatureInfo [rank=67, score=0.002556643147876428, name=carrierFsCodeOneHot_AC]
FeatureInfo [rank=68, score=0.0025204794892175835, name=carrierFsCodeOneHot_EH]
FeatureInfo [rank=69, score=0.0025111466075458722, name=departureAirportOneHot_LIS]
FeatureInfo [rank=70, score=0.0024971547167216973, name=departureAirportOneHot_PEK]
FeatureInfo [rank=71, score=0.0023347427645026746, name=carrierFsCodeOneHot_CTV]
FeatureInfo [rank=72, score=0.002247899336574628, name=departureAirportOneHot_SAW]
FeatureInfo [rank=73, score=0.0020810843920424306, name=arrivalDayOneHot_Fri]
FeatureInfo [rank=74, score=0.002024531313474404, name=carrierFsCodeOneHot_LO]
FeatureInfo [rank=75, score=0.0020002844042610384, name=arrivalAirportOneHot_AMS]
FeatureInfo [rank=76, score=0.001954999068544954, name=arrivalAirportOneHot_MXP]
FeatureInfo [rank=77, score=0.001898645141654927, name=carrierFsCodeOneHot_VJC]
FeatureInfo [rank=78, score=0.0018580779320445063, name=carrierFsCodeOneHot_1I]
FeatureInfo [rank=79, score=0.0018152841157590312, name=departureAirportOneHot_ATL]
FeatureInfo [rank=80, score=0.0017077731285622903, name=carrierFsCodeOneHot_SG]
FeatureInfo [rank=81, score=0.001621766753005763, name=departureAirportOneHot_YYZ]
FeatureInfo [rank=82, score=0.0015118595363401174, name=carrierFsCodeOneHot_5J]
FeatureInfo [rank=83, score=0.0014553427945797769, name=carrierFsCodeOneHot_BAI]
FeatureInfo [rank=84, score=0.0013975986649926234, name=arrivalAirportOneHot_LIS]
FeatureInfo [rank=85, score=0.0013667342032998605, name=carrierFsCodeOneHot_AI]
FeatureInfo [rank=86, score=0.0012941668383133578, name=carrierFsCodeOneHot_MXD]
FeatureInfo [rank=87, score=0.0012252065348022758, name=departureAirportOneHot_PMI]
FeatureInfo [rank=88, score=0.0012126313237126839, name=carrierFsCodeOneHot_VB]
FeatureInfo [rank=89, score=0.0012032783447166787, name=departureAirportOneHot_UPG]
FeatureInfo [rank=90, score=0.001176735693957006, name=arrivalAirportOneHot_ATH]
FeatureInfo [rank=91, score=0.0011641814245752706, name=arrivalAirportOneHot_DEN]
FeatureInfo [rank=92, score=0.0011623585617300115, name=arrivalAirportOneHot_DUB]
FeatureInfo [rank=93, score=0.0011027712430850024, name=carrierFsCodeOneHot_JL]
FeatureInfo [rank=94, score=0.0010789254008902603, name=carrierFsCodeOneHot_NH]
FeatureInfo [rank=95, score=0.0010045094759754665, name=carrierFsCodeOneHot_DE]
FeatureInfo [rank=96, score=9.91157766405246E-4, name=departureDayMomentOneHot_d4]
FeatureInfo [rank=97, score=9.817145565661368E-4, name=carrierFsCodeOneHot_XE*]
FeatureInfo [rank=98, score=9.451786971400772E-4, name=carrierFsCodeOneHot_YX]
FeatureInfo [rank=99, score=9.140842638030887E-4, name=carrierFsCodeOneHot_RV*]
FeatureInfo [rank=100, score=9.104056266785014E-4, name=departureAirportOneHot_SFO]
FeatureInfo [rank=101, score=9.033217370131263E-4, name=arrivalAirportOneHot_SHA]
FeatureInfo [rank=102, score=8.838823795958601E-4, name=carrierFsCodeOneHot_MS]
FeatureInfo [rank=103, score=8.610661568676131E-4, name=arrivalDayMomentOneHot_d5]
FeatureInfo [rank=104, score=8.588026496587855E-4, name=arrivalAirportOneHot_MSP]
FeatureInfo [rank=105, score=8.550061843097667E-4, name=departureAirportOneHot_CDG]
FeatureInfo [rank=106, score=8.489616207133007E-4, name=arrivalDayOneHot_Thu]
FeatureInfo [rank=107, score=8.412746226919051E-4, name=carrierFsCodeOneHot_UP]
FeatureInfo [rank=108, score=8.372193338275909E-4, name=departureAirportOneHot_SIN]
FeatureInfo [rank=109, score=8.281077132209181E-4, name=carrierFsCodeOneHot_VS]
FeatureInfo [rank=110, score=8.097886016763445E-4, name=departureAirportOneHot_HAM]
FeatureInfo [rank=111, score=8.05850815898725E-4, name=arrivalAirportOneHot_WAW]
FeatureInfo [rank=112, score=8.045487546164E-4, name=carrierFsCodeOneHot_5Y]
FeatureInfo [rank=113, score=7.860905302081806E-4, name=departureAirportOneHot_MSP]
FeatureInfo [rank=114, score=7.381117268778872E-4, name=carrierFsCodeOneHot_KL]
FeatureInfo [rank=115, score=7.290779349846898E-4, name=arrivalAirportOneHot_DME]
FeatureInfo [rank=116, score=7.15673777184409E-4, name=arrivalAirportOneHot_BKK]
FeatureInfo [rank=117, score=7.110400481870901E-4, name=departureAirportOneHot_BKK]
FeatureInfo [rank=118, score=6.873139361907541E-4, name=departureDayOneHot_Sat]
FeatureInfo [rank=119, score=6.86944948505063E-4, name=carrierFsCodeOneHot_7G*]
FeatureInfo [rank=120, score=6.858852115851265E-4, name=carrierFsCodeOneHot_F9]
FeatureInfo [rank=121, score=6.60959430759588E-4, name=arrivalAirportOneHot_CTS]
FeatureInfo [rank=122, score=6.552884156552271E-4, name=arrivalAirportOneHot_PEK]
FeatureInfo [rank=123, score=6.548144058002752E-4, name=carrierFsCodeOneHot_PG]
FeatureInfo [rank=124, score=6.529855926751729E-4, name=carrierFsCodeOneHot_PDT]
FeatureInfo [rank=125, score=6.343484832068567E-4, name=arrivalAirportOneHot_LAS]
FeatureInfo [rank=126, score=6.30573237566005E-4, name=arrivalDayMomentOneHot_d4]
FeatureInfo [rank=127, score=6.265492776060641E-4, name=carrierFsCodeOneHot_JP]
FeatureInfo [rank=128, score=5.841681971946406E-4, name=carrierFsCodeOneHot_IN*]
FeatureInfo [rank=129, score=5.787445040555017E-4, name=carrierFsCodeOneHot_MU]
FeatureInfo [rank=130, score=5.561493765392394E-4, name=carrierFsCodeOneHot_OO]
FeatureInfo [rank=131, score=5.45439024754107E-4, name=carrierFsCodeOneHot_SU]
FeatureInfo [rank=132, score=5.350274242060988E-4, name=departureAirportOneHot_IBZ]
FeatureInfo [rank=133, score=5.308620028958385E-4, name=arrivalDayOneHot_Sat]
FeatureInfo [rank=134, score=5.187499906300039E-4, name=departureAirportOneHot_BRU]
FeatureInfo [rank=135, score=4.953233218748819E-4, name=arrivalAirportOneHot_HIJ]
FeatureInfo [rank=136, score=4.947391976029529E-4, name=wind_degOneHot_12.0]
FeatureInfo [rank=137, score=4.916944346768277E-4, name=carrierFsCodeOneHot_CA]
FeatureInfo [rank=138, score=4.8232460294063574E-4, name=weatherOneHot_Clouds]
FeatureInfo [rank=139, score=4.7499047844002507E-4, name=wind_degOneHot_11.0]
FeatureInfo [rank=140, score=4.632288148627207E-4, name=carrierFsCodeOneHot_8Y*]
FeatureInfo [rank=141, score=4.6281923436845775E-4, name=carrierFsCodeOneHot_SNJ]
FeatureInfo [rank=142, score=4.586443452839011E-4, name=departureAirportOneHot_ANC]
FeatureInfo [rank=143, score=4.499657653417419E-4, name=carrierFsCodeOneHot_AF]
FeatureInfo [rank=144, score=4.4862808274071956E-4, name=carrierFsCodeOneHot_FB]
FeatureInfo [rank=145, score=4.382446598342683E-4, name=carrierFsCodeOneHot_EK]
FeatureInfo [rank=146, score=4.36895071932747E-4, name=arrivalAirportOneHot_DEL]
FeatureInfo [rank=147, score=4.35550400913278E-4, name=carrierFsCodeOneHot_TOM]
FeatureInfo [rank=148, score=4.324546795008637E-4, name=wind_degOneHot_9.0]
FeatureInfo [rank=149, score=4.2824545664203604E-4, name=arrivalAirportOneHot_HRB]
FeatureInfo [rank=150, score=4.2385826459205914E-4, name=departureAirportOneHot_FUK]
FeatureInfo [rank=151, score=4.202683376964775E-4, name=departureAirportOneHot_MUC]
FeatureInfo [rank=152, score=3.9878750631168556E-4, name=carrierFsCodeOneHot_PC]
FeatureInfo [rank=153, score=3.939504539737121E-4, name=carrierFsCodeOneHot_C5]
FeatureInfo [rank=154, score=3.938124949140208E-4, name=wind_degOneHot_10.0]
FeatureInfo [rank=155, score=3.9356306932333043E-4, name=carrierFsCodeOneHot_EI]
FeatureInfo [rank=156, score=3.910852418939247E-4, name=arrivalAirportOneHot_PHL]
FeatureInfo [rank=157, score=3.864828677799957E-4, name=departureAirportOneHot_WAW]
FeatureInfo [rank=158, score=3.832628881157691E-4, name=arrivalAirportOneHot_BOG]
FeatureInfo [rank=159, score=3.7021964357057013E-4, name=departureAirportOneHot_GRU]
FeatureInfo [rank=160, score=3.611752971490042E-4, name=arrivalAirportOneHot_DXB]
FeatureInfo [rank=161, score=3.5457870724581273E-4, name=carrierFsCodeOneHot_AV]
FeatureInfo [rank=162, score=3.3846953433912133E-4, name=wind_degOneHot_7.0]
FeatureInfo [rank=163, score=3.375946211362488E-4, name=carrierFsCodeOneHot_P3]
FeatureInfo [rank=164, score=3.367686036519377E-4, name=tempOneHot_1.0]
FeatureInfo [rank=165, score=3.3530829223024953E-4, name=wind_degOneHot_17.0]
FeatureInfo [rank=166, score=3.327328486483662E-4, name=carrierFsCodeOneHot_CM]
FeatureInfo [rank=167, score=3.201908939662034E-4, name=departureAirportOneHot_HDY]
FeatureInfo [rank=168, score=3.1740766409526496E-4, name=departureAirportOneHot_PVG]
FeatureInfo [rank=169, score=3.143827561279335E-4, name=arrivalAirportOneHot_MEX]
FeatureInfo [rank=170, score=3.089932914697941E-4, name=carrierFsCodeOneHot_QX]
FeatureInfo [rank=171, score=3.0300256850707645E-4, name=departureAirportOneHot_MEX]
FeatureInfo [rank=172, score=3.0260771970294707E-4, name=carrierFsCodeOneHot_CD]
FeatureInfo [rank=173, score=3.0198120325478734E-4, name=carrierFsCodeOneHot_TR]
FeatureInfo [rank=174, score=2.9789946831965065E-4, name=departureAirportOneHot_BTH]
FeatureInfo [rank=175, score=2.9625953079469254E-4, name=departureDayOneHot_Thu]
FeatureInfo [rank=176, score=2.948353102153888E-4, name=arrivalAirportOneHot_MAN]
FeatureInfo [rank=177, score=2.93481120470351E-4, name=arrivalAirportOneHot_BRU]
FeatureInfo [rank=178, score=2.831960068371662E-4, name=carrierFsCodeOneHot_ZH]
FeatureInfo [rank=179, score=2.7481551042195126E-4, name=arrivalAirportOneHot_CAN]
FeatureInfo [rank=180, score=2.679916780521628E-4, name=wind_degOneHot_13.0]
FeatureInfo [rank=181, score=2.673294867819554E-4, name=departureAirportOneHot_MNL]
FeatureInfo [rank=182, score=2.670071515925332E-4, name=departureAirportOneHot_KWI]
FeatureInfo [rank=183, score=2.6673066551323004E-4, name=carrierFsCodeOneHot_TA]
FeatureInfo [rank=184, score=2.645449154513712E-4, name=arrivalAirportOneHot_SIN]
FeatureInfo [rank=185, score=2.629364464365757E-4, name=departureAirportOneHot_MAN]
FeatureInfo [rank=186, score=2.6293320336906136E-4, name=carrierFsCodeOneHot_AA]
FeatureInfo [rank=187, score=2.557399349736755E-4, name=arrivalAirportOneHot_MUC]
FeatureInfo [rank=188, score=2.536097410986551E-4, name=departureAirportOneHot_DTW]
FeatureInfo [rank=189, score=2.5196956704639947E-4, name=departureAirportOneHot_LAS]
FeatureInfo [rank=190, score=2.4615595589978057E-4, name=arrivalAirportOneHot_UPG]
FeatureInfo [rank=191, score=2.3982102574429204E-4, name=arrivalAirportOneHot_DLH]
FeatureInfo [rank=192, score=2.3725039739963072E-4, name=departureAirportOneHot_DFW]
FeatureInfo [rank=193, score=2.297656881987141E-4, name=departureAirportOneHot_FLL]
FeatureInfo [rank=194, score=2.2474461382289337E-4, name=arrivalAirportOneHot_PVG]
FeatureInfo [rank=195, score=2.208635704967823E-4, name=carrierFsCodeOneHot_W6]
FeatureInfo [rank=196, score=2.1854238524118824E-4, name=departureAirportOneHot_KUL]
FeatureInfo [rank=197, score=2.1684300949727976E-4, name=carrierFsCodeOneHot_GB]
FeatureInfo [rank=198, score=2.1580396180172453E-4, name=carrierFsCodeOneHot_5D]
FeatureInfo [rank=199, score=2.1513709733313093E-4, name=arrivalAirportOneHot_GRU]
FeatureInfo [rank=200, score=2.1322907136148804E-4, name=departureAirportOneHot_PTY]
FeatureInfo [rank=201, score=2.123474458591899E-4, name=departureAirportOneHot_ORD]
FeatureInfo [rank=202, score=2.114200712530603E-4, name=departureAirportOneHot_ZRH]
FeatureInfo [rank=203, score=2.112594041694169E-4, name=departureAirportOneHot_DJB]
FeatureInfo [rank=204, score=2.1093785499793147E-4, name=departureAirportOneHot_HKT]
FeatureInfo [rank=205, score=2.1050835326441583E-4, name=carrierFsCodeOneHot_OK]
FeatureInfo [rank=206, score=2.0421303266137829E-4, name=arrivalAirportOneHot_TKG]
FeatureInfo [rank=207, score=1.9964710546781643E-4, name=departureAirportOneHot_HYD]
FeatureInfo [rank=208, score=1.9808241965691458E-4, name=carrierFsCodeOneHot_TT]
FeatureInfo [rank=209, score=1.9712703817199577E-4, name=departureAirportOneHot_SGN]
FeatureInfo [rank=210, score=1.9690022032636887E-4, name=wind_degOneHot_1.0]
FeatureInfo [rank=211, score=1.960287082953162E-4, name=departureAirportOneHot_MCO]
FeatureInfo [rank=212, score=1.9560903960632144E-4, name=departureAirportOneHot_AUH]
FeatureInfo [rank=213, score=1.9480323722091773E-4, name=carrierFsCodeOneHot_9E]
FeatureInfo [rank=214, score=1.9007687468107915E-4, name=departureAirportOneHot_ADD]
FeatureInfo [rank=215, score=1.897439608088214E-4, name=wind_degOneHot_4.0]
FeatureInfo [rank=216, score=1.8439868194717525E-4, name=arrivalAirportOneHot_BKI]
FeatureInfo [rank=217, score=1.8434100812950998E-4, name=carrierFsCodeOneHot_A3]
FeatureInfo [rank=218, score=1.842691632408692E-4, name=carrierFsCodeOneHot_UA]
FeatureInfo [rank=219, score=1.84172590069298E-4, name=departureAirportOneHot_HKG]
FeatureInfo [rank=220, score=1.835487080539232E-4, name=departureAirportOneHot_DOH]
FeatureInfo [rank=221, score=1.82973205431869E-4, name=departureAirportOneHot_DME]
FeatureInfo [rank=222, score=1.8191141507675252E-4, name=wind_degOneHot_6.0]
FeatureInfo [rank=223, score=1.8048784504475816E-4, name=arrivalAirportOneHot_ORD]
FeatureInfo [rank=224, score=1.7239646671009248E-4, name=arrivalAirportOneHot_CGQ]
FeatureInfo [rank=225, score=1.721582539637111E-4, name=departureAirportOneHot_DBV]
FeatureInfo [rank=226, score=1.715682787681989E-4, name=carrierFsCodeOneHot_KU]
FeatureInfo [rank=227, score=1.7120815038586292E-4, name=carrierFsCodeOneHot_VA]
FeatureInfo [rank=228, score=1.6945424268790827E-4, name=carrierFsCodeOneHot_JQ]
FeatureInfo [rank=229, score=1.6848891155482262E-4, name=wind_degOneHot_16.0]
FeatureInfo [rank=230, score=1.683055619980839E-4, name=carrierFsCodeOneHot_BC]
FeatureInfo [rank=231, score=1.6812638358164076E-4, name=departureAirportOneHot_MXP]
FeatureInfo [rank=232, score=1.638894643162872E-4, name=arrivalAirportOneHot_STT]
FeatureInfo [rank=233, score=1.634906867588622E-4, name=departureAirportOneHot_OLB]
FeatureInfo [rank=234, score=1.6129380427235693E-4, name=arrivalAirportOneHot_HAN]
FeatureInfo [rank=235, score=1.567208757108701E-4, name=carrierFsCodeOneHot_SN]
FeatureInfo [rank=236, score=1.5033663589475403E-4, name=departureAirportOneHot_ABE]
FeatureInfo [rank=237, score=1.490419239267391E-4, name=departureAirportOneHot_DUS]
FeatureInfo [rank=238, score=1.4892954933154397E-4, name=departureAirportOneHot_SUB]
FeatureInfo [rank=239, score=1.473760400903852E-4, name=arrivalAirportOneHot_DPS]
FeatureInfo [rank=240, score=1.4719652468822867E-4, name=departureAirportOneHot_CSX]
FeatureInfo [rank=241, score=1.44906128352865E-4, name=arrivalAirportOneHot_WDH]
FeatureInfo [rank=242, score=1.4444562777327942E-4, name=carrierFsCodeOneHot_LYM]
FeatureInfo [rank=243, score=1.4375224530190794E-4, name=arrivalAirportOneHot_IST]
FeatureInfo [rank=244, score=1.409654972826358E-4, name=carrierFsCodeOneHot_CX]
FeatureInfo [rank=245, score=1.4040179159525908E-4, name=arrivalAirportOneHot_GMP]
FeatureInfo [rank=246, score=1.3952440755603813E-4, name=carrierFsCodeOneHot_ZW]
FeatureInfo [rank=247, score=1.3753540663311522E-4, name=carrierFsCodeOneHot_MI]
FeatureInfo [rank=248, score=1.373626124048525E-4, name=carrierFsCodeOneHot_NK]
FeatureInfo [rank=249, score=1.34595382484765E-4, name=arrivalAirportOneHot_ICN]
FeatureInfo [rank=250, score=1.3392070178565204E-4, name=carrierFsCodeOneHot_LX]
FeatureInfo [rank=251, score=1.3365275640146195E-4, name=arrivalAirportOneHot_AKL]
FeatureInfo [rank=252, score=1.2907182578840963E-4, name=departureAirportOneHot_VIE]
FeatureInfo [rank=253, score=1.270181869296027E-4, name=carrierFsCodeOneHot_K4]
FeatureInfo [rank=254, score=1.265426306461495E-4, name=arrivalAirportOneHot_CGO]
FeatureInfo [rank=255, score=1.2509073611129048E-4, name=departureAirportOneHot_ICN]
FeatureInfo [rank=256, score=1.2433933650620385E-4, name=arrivalAirportOneHot_DAD]
FeatureInfo [rank=257, score=1.242664564694929E-4, name=carrierFsCodeOneHot_SY]
FeatureInfo [rank=258, score=1.228435693948933E-4, name=wind_degOneHot_0.0]
FeatureInfo [rank=259, score=1.224938137386547E-4, name=departureAirportOneHot_CAI]
FeatureInfo [rank=260, score=1.2062589952649849E-4, name=carrierFsCodeOneHot_AK]
FeatureInfo [rank=261, score=1.2058923873635071E-4, name=departureAirportOneHot_BOG]
FeatureInfo [rank=262, score=1.1940288863957055E-4, name=departureAirportOneHot_SIP]
FeatureInfo [rank=263, score=1.1812980648876963E-4, name=departureAirportOneHot_PNH]
FeatureInfo [rank=264, score=1.1514518364658013E-4, name=carrierFsCodeOneHot_HO]
FeatureInfo [rank=265, score=1.1513670722590169E-4, name=departureAirportOneHot_LAX]
FeatureInfo [rank=266, score=1.1274242768078262E-4, name=arrivalAirportOneHot_FUK]
FeatureInfo [rank=267, score=1.1172539124190045E-4, name=departureAirportOneHot_TPA]
FeatureInfo [rank=268, score=1.1023983543979502E-4, name=arrivalAirportOneHot_SOF]
FeatureInfo [rank=269, score=1.0860389101380963E-4, name=arrivalAirportOneHot_PMI]
FeatureInfo [rank=270, score=1.0684698952534583E-4, name=carrierFsCodeOneHot_JIA]
FeatureInfo [rank=271, score=1.0526459432097122E-4, name=departureAirportOneHot_PDG]
FeatureInfo [rank=272, score=1.050417546588471E-4, name=departureAirportOneHot_BOM]
FeatureInfo [rank=273, score=1.0345858733213872E-4, name=carrierFsCodeOneHot_QV]
FeatureInfo [rank=274, score=1.0259223210107657E-4, name=departureAirportOneHot_ADL]
FeatureInfo [rank=275, score=1.0053810983926826E-4, name=departureAirportOneHot_SEA]
FeatureInfo [rank=276, score=9.905432482524428E-5, name=departureAirportOneHot_EBL]
FeatureInfo [rank=277, score=9.857259061694672E-5, name=carrierFsCodeOneHot_WZ]
FeatureInfo [rank=278, score=9.812558666316206E-5, name=arrivalAirportOneHot_YUL]
FeatureInfo [rank=279, score=9.774906188371827E-5, name=carrierFsCodeOneHot_SQ]
FeatureInfo [rank=280, score=9.704861256324787E-5, name=arrivalAirportOneHot_NRT]
FeatureInfo [rank=281, score=9.67716721189603E-5, name=arrivalAirportOneHot_MNL]
FeatureInfo [rank=282, score=9.643576749856475E-5, name=carrierFsCodeOneHot_BR]
FeatureInfo [rank=283, score=9.640578699489525E-5, name=arrivalAirportOneHot_MRS]
FeatureInfo [rank=284, score=9.549572133516949E-5, name=arrivalAirportOneHot_HKG]
FeatureInfo [rank=285, score=9.505650586088864E-5, name=departureAirportOneHot_TIA]
FeatureInfo [rank=286, score=9.421160304241555E-5, name=departureAirportOneHot_LOS]
FeatureInfo [rank=287, score=9.36908741638184E-5, name=carrierFsCodeOneHot_RS*]
FeatureInfo [rank=288, score=9.323219221976259E-5, name=arrivalAirportOneHot_SAT]
FeatureInfo [rank=289, score=9.254536287601459E-5, name=arrivalAirportOneHot_ORY]
FeatureInfo [rank=290, score=9.23026122368349E-5, name=departureAirportOneHot_HGH]
FeatureInfo [rank=291, score=9.089133307914297E-5, name=departureAirportOneHot_DPS]
FeatureInfo [rank=292, score=9.03739195925711E-5, name=arrivalAirportOneHot_MIA]
FeatureInfo [rank=293, score=9.017699990489074E-5, name=arrivalAirportOneHot_OPO]
FeatureInfo [rank=294, score=8.980244300729276E-5, name=wind_degOneHot_2.0]
FeatureInfo [rank=295, score=8.946118310972518E-5, name=carrierFsCodeOneHot_GS]
FeatureInfo [rank=296, score=8.90889854192665E-5, name=carrierFsCodeOneHot_AH]
FeatureInfo [rank=297, score=8.860025207469853E-5, name=departureAirportOneHot_TKG]
FeatureInfo [rank=298, score=8.761874777462036E-5, name=arrivalAirportOneHot_KUL]
FeatureInfo [rank=299, score=8.75464083280126E-5, name=departureAirportOneHot_OMA]
FeatureInfo [rank=300, score=8.712559028923361E-5, name=departureAirportOneHot_SZX]
FeatureInfo [rank=301, score=8.630771507258288E-5, name=arrivalAirportOneHot_IND]
FeatureInfo [rank=302, score=8.5122084527162E-5, name=wind_degOneHot_5.0]
FeatureInfo [rank=303, score=8.475613141295421E-5, name=departureAirportOneHot_KCZ]
FeatureInfo [rank=304, score=8.470882159572567E-5, name=carrierFsCodeOneHot_3K]
FeatureInfo [rank=305, score=8.432379892776998E-5, name=departureAirportOneHot_MCI]
FeatureInfo [rank=306, score=8.23094121803486E-5, name=arrivalAirportOneHot_KWI]
FeatureInfo [rank=307, score=8.199563176657128E-5, name=arrivalAirportOneHot_SYD]
FeatureInfo [rank=308, score=8.147853532015845E-5, name=carrierFsCodeOneHot_AM]
FeatureInfo [rank=309, score=8.147724255413435E-5, name=arrivalAirportOneHot_DTW]
FeatureInfo [rank=310, score=7.895376085654782E-5, name=carrierFsCodeOneHot_GH]
FeatureInfo [rank=311, score=7.891305242986426E-5, name=carrierFsCodeOneHot_TG]
FeatureInfo [rank=312, score=7.886912927600118E-5, name=carrierFsCodeOneHot_QK]
FeatureInfo [rank=313, score=7.838802243590529E-5, name=departureAirportOneHot_AMD]
FeatureInfo [rank=314, score=7.757139459429129E-5, name=departureAirportOneHot_EWR]
FeatureInfo [rank=315, score=7.718281780426378E-5, name=departureAirportOneHot_SJU]
FeatureInfo [rank=316, score=7.682924702584469E-5, name=arrivalAirportOneHot_MAD]
FeatureInfo [rank=317, score=7.659795570092839E-5, name=departureAirportOneHot_KMJ]
